Products,Price($),URL
MSI Ventus GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 12G OC LHR and AMD Ryzen 9 5900X - Ryzen 9 5000 Series Vermeer (Zen 3) 12-Core 3.7 GHz Socket AM4 105W Desktop Processor - 100-100000061WOF and MSI M,2573,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4468512
GDDR6X MSI GeForce RTX 3080 SUPRIM X 10G LHR Graphics Card GDDR6X 320bit PCI Express 4.0 16X RTX,2591,https://www.newegg.ca/p/1FT-0009-008G2?Description=3080&cm_re=3080-_-9SIB518HCJ0509-_-Product
GDDR6X MSI GeForce RTX 3080 SUPRIM X 10G LHR Graphics Card 19000MHz GDDR6X 10GB 320bit 7680×4320 RTX,2599,https://www.newegg.ca/p/1FT-0009-008K4?Description=3080&cm_re=3080-_-9SIB518HCJ2727-_-Product
GIGABYTE AORUS GeForce RTX 3080 XTREME 10G (LHR) Graphics Card 10GB 320-Bit GDDR6X PCI Express 4.0 3×HDMI Interface 3×DisplayPort Interface,2599,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-x-10gd/p/1FT-000A-003G8?Description=3080&cm_re=3080-_-9SIADDZGPR3222-_-Product
GIGABYTE AORUS GeForce RTX 3080 MASTER 10G (LHR) Graphics Card 10GB 320-Bit GDDR6X PCI Express 4.0 3×HDMI Interface 3×DisplayPort Interface,2599,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorus-m-10gd/p/1FT-000A-003H0?Description=3080&cm_re=3080-_-9SIADDZGPR3597-_-Product
GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TEAGLE OC-12GD,2623,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-gv-n308teagle-oc-12gd/p/N82E16814932438?Description=3080&cm_re=3080-_-14-932-438-_-Product
GIGABYTE AORUS GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TAORUS M-12GD,2649,https://www.newegg.ca/gigabyte-geforce-rtx-3080-ti-gv-n308taorus-m-12gd/p/N82E16814932435?Description=3080&cm_re=3080-_-14-932-435-_-Product
INNO3D Geforce RTX 3080 TI GAMING X3(LHR)Graphics Card 12GB 384-bit GDDR6X PCI Express 4.0 1×HDMI 2.1 Interface 3×DisplayPort 1.4a Interface,2662,https://www.newegg.ca/inno3d-geforce-rtx-3080-ti-rtx-3080-ti-gaming-x3/p/1FT-000N-001F9?Description=3080&cm_re=3080-_-1FT-000N-001F9-_-Product
MSI Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 Ti Gaming X Trio 12G and AMD Ryzen 7 5800X - Ryzen 7 5000 Series Vermeer (Zen 3) 8-Core 3.8 GHz Socket AM4 105W Desktop Processor - 100-100000063WOF and MSI MPG,2670,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4358158
GIGABYTE AORUS GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080AORUSX W-12GD,2672,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080aorusx-w-12gd/p/N82E16814932503?Description=3080&cm_re=3080-_-9SIAPBWH1N6082-_-Product
MSI Ventus GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card RTX 3080 Ti VENTUS 3X 12G,2683,https://www.newegg.ca/msi-geforce-rtx-3080-ti-rtx-3080-ti-ventus-3x-12g/p/N82E16814137656?Description=3080&cm_re=3080-_-14-137-656-_-Product
GIGABYTE GeForce RTX 3080 Ti Gaming OC 12G Graphics Card 3X WINDFORCE Fans 12GB 384-Bit GDDR6X,2687,https://www.newegg.ca/p/1FT-000A-003J7?Description=3080&cm_re=3080-_-9SIB42GHCD1956-_-Product
GIGABYTE Gaming GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 ATX Video Card GV-N308TGAMING OC-12GD -OPENBOX,2697,https://www.newegg.ca/p/1FT-000A-003H4?Description=3080&cm_re=3080-_-9SIAPBWGZK5955-_-Product
ASUS ROG Strix GeForce RTX 3080 Ti OC Edition Gaming Graphics Card (PCIe 4.0 12GB GDDR6X HDMI 2.1 DisplayPort 1.4a Axial-tech Fan Design 2.9-slot) ROG-STRIX-RTX3080TI-O12G-GAMING,2699,https://www.newegg.ca/p/1FT-000Y-00615?Description=3080&cm_re=3080-_-1FT-000Y-00615-_-Product
GIGABYTE Eagle GeForce RTX 3080 Ti 12GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N308TEAGLE-12GD,2706,https://www.newegg.ca/p/1FT-000A-002F9?Description=3080&cm_re=3080-_-9SIAPBWGZW8054-_-Product
